split,policy,pool_idx,n_samples,reward_mean,reward_max,reward_p50,reward_p90,reward_p95,positive_rate,high_reward_rate,near_miss_rate,collision_rate,init_invalid_rate,goal_offlane_rate,controlled_parking_rate,small_vehicle_rate,ego_adv_min_dist_mean,ego_adv_min_dist_min,r_approach_mean,r_ttc_mean,constraint_mean,adv_length_mean,adv_width_mean
train,conditioning_real_adv,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.839810848236084,6.839810848236084,0.3965394198894501,0.9333333373069763,0.0,5.283745765686035,2.3618199825286865
train,conditioning_real_adv,74,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,29.912397384643555,29.912397384643555,1.169195371630849e-07,0.0,1.5,4.457079887390137,2.023606300354004
train,conditioning_real_adv,99,1,8.940696716308594e-07,8.940696716308594e-07,8.940696716308594e-07,8.940696716308594e-07,8.940696716308594e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.472089767456055,30.472089767456055,8.948410368248005e-07,0.0,0.0,4.818221092224121,2.131154775619507
train,conditioning_real_adv,815,1,0.00043839216232299805,0.00043839216232299805,0.00043839216232299805,0.00043839216232299805,0.00043839216232299805,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.342315673828125,17.342315673828125,0.0004383625346235931,0.0,0.0,4.881886005401611,2.2969462871551514
train,conditioning_real_adv,865,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.93585968017578,16.93585968017578,0.0012989058159291744,0.0,1.5,5.093383312225342,2.2541847229003906
train,conditioning_real_adv,920,1,3.5643577575683594e-05,3.5643577575683594e-05,3.5643577575683594e-05,3.5643577575683594e-05,3.5643577575683594e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.47488021850586,15.47488021850586,3.562928759492934e-05,0.0,0.0,4.599277973175049,2.059910774230957
train,conditioning_real_adv,1062,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,42.03508758544922,42.03508758544922,6.744620972831683e-10,0.0,1.5,8.654790878295898,2.805959701538086
train,conditioning_real_adv,1417,1,0.0018380284309387207,0.0018380284309387207,0.0018380284309387207,0.0018380284309387207,0.0018380284309387207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.463903427124023,12.463903427124023,0.0018380247056484222,0.0,0.0,0.9045462012290955,0.8751303553581238
train,conditioning_real_adv,1493,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,38.97859573364258,38.97859573364258,9.590407357151776e-10,0.0,1.5,5.282492637634277,2.358440637588501
train,conditioning_real_adv,1749,1,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.476776123046875,27.476776123046875,2.9235687204476335e-09,0.0,0.5,4.510458946228027,2.061676502227783
train,conditioning_real_adv,2067,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.336172103881836,18.336172103881836,9.740745008457452e-05,0.0,1.4732434749603271,0.8830615282058716,0.9273551106452942
train,conditioning_real_adv,2160,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.415511131286621,15.415511131286621,3.062265339307674e-13,0.0,0.0,4.888238906860352,2.1832499504089355
train,conditioning_real_adv,2384,1,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.56343460083008,33.56343460083008,1.5533112296406415e-10,0.0,0.5,6.03916072845459,2.48264741897583
train,conditioning_real_adv,2532,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,37.78997802734375,37.78997802734375,1.1209631001207754e-09,0.0,1.5,4.5823187828063965,2.089557409286499
train,conditioning_real_adv,2550,1,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.76793670654297,27.76793670654297,9.632917681301478e-07,0.0,0.0,4.584664344787598,2.0957658290863037
train,conditioning_real_adv,2580,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.73648452758789,28.73648452758789,1.7499247884078528e-10,0.0,0.0,6.997513294219971,2.9130189418792725
train,conditioning_real_adv,2653,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.346466064453125,33.346466064453125,0.0,0.0,0.0,5.276907920837402,2.3556931018829346
train,conditioning_real_adv,2964,1,0.43411242961883545,0.43411242961883545,0.43411242961883545,0.43411242961883545,0.43411242961883545,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.528887748718262,6.528887748718262,0.43411242961883545,0.0,0.0,4.616854667663574,2.1132802963256836
