spike_rank,iter,kl,sample,group,pool_slot,dataset_id,initial_pool_dataset_id,log_path
0,449,0.0534,0,0,414,359490,359490,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,1,0,414,359490,359490,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,2,0,414,359490,359490,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,3,0,414,359490,359490,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,4,0,414,359490,359490,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,5,0,414,359490,359490,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,6,0,414,359490,359490,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,7,0,414,359490,359490,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,8,1,34907,65113,65113,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,9,1,34907,65113,65113,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,10,1,34907,65113,65113,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,11,1,34907,65113,65113,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,12,1,34907,65113,65113,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,13,1,34907,65113,65113,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,14,1,34907,65113,65113,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,15,1,34907,65113,65113,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,16,2,33731,156659,156659,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,17,2,33731,156659,156659,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,18,2,33731,156659,156659,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,19,2,33731,156659,156659,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,20,2,33731,156659,156659,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,21,2,33731,156659,156659,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,22,2,33731,156659,156659,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,23,2,33731,156659,156659,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,24,3,35897,325976,325975,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,25,3,35897,325976,325975,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,26,3,35897,325976,325975,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,27,3,35897,325976,325975,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,28,3,35897,325976,325975,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,29,3,35897,325976,325975,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,30,3,35897,325976,325975,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,31,3,35897,325976,325975,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,32,4,17754,483092,483092,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,33,4,17754,483092,483092,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,34,4,17754,483092,483092,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,35,4,17754,483092,483092,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,36,4,17754,483092,483092,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,37,4,17754,483092,483092,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,38,4,17754,483092,483092,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,39,4,17754,483092,483092,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,40,5,28086,151941,151941,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,41,5,28086,151941,151941,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,42,5,28086,151941,151941,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,43,5,28086,151941,151941,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,44,5,28086,151941,151941,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,45,5,28086,151941,151941,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,46,5,28086,151941,151941,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,47,5,28086,151941,151941,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,48,6,9939,214302,214302,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,49,6,9939,214302,214302,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,50,6,9939,214302,214302,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,51,6,9939,214302,214302,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,52,6,9939,214302,214302,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,53,6,9939,214302,214302,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,54,6,9939,214302,214302,wandb/run-20260630_155831-2gcw0mpa/files/output.log
0,449,0.0534,55,6,9939,214302,214302,wandb/run-20260630_155831-2gcw0mpa/files/output.log
