spike_rank,iter,kl,sample,group,pool_slot,dataset_id,initial_pool_dataset_id,log_path
0,93,nan,0,0,16195,376489,376488,<manual>
0,93,nan,1,0,16195,376489,376488,<manual>
0,93,nan,2,0,16195,376489,376488,<manual>
0,93,nan,3,0,16195,376489,376488,<manual>
0,93,nan,4,0,16195,376489,376488,<manual>
0,93,nan,5,0,16195,376489,376488,<manual>
0,93,nan,6,0,16195,376489,376488,<manual>
0,93,nan,7,0,16195,376489,376488,<manual>
0,93,nan,8,1,39305,183872,183872,<manual>
0,93,nan,9,1,39305,183872,183872,<manual>
0,93,nan,10,1,39305,183872,183872,<manual>
0,93,nan,11,1,39305,183872,183872,<manual>
0,93,nan,12,1,39305,183872,183872,<manual>
0,93,nan,13,1,39305,183872,183872,<manual>
0,93,nan,14,1,39305,183872,183872,<manual>
0,93,nan,15,1,39305,183872,183872,<manual>
0,93,nan,16,2,5042,471918,471917,<manual>
0,93,nan,17,2,5042,471918,471917,<manual>
0,93,nan,18,2,5042,471918,471917,<manual>
0,93,nan,19,2,5042,471918,471917,<manual>
0,93,nan,20,2,5042,471918,471917,<manual>
0,93,nan,21,2,5042,471918,471917,<manual>
0,93,nan,22,2,5042,471918,471917,<manual>
0,93,nan,23,2,5042,471918,471917,<manual>
0,93,nan,24,3,11873,288767,288767,<manual>
0,93,nan,25,3,11873,288767,288767,<manual>
0,93,nan,26,3,11873,288767,288767,<manual>
0,93,nan,27,3,11873,288767,288767,<manual>
0,93,nan,28,3,11873,288767,288767,<manual>
0,93,nan,29,3,11873,288767,288767,<manual>
0,93,nan,30,3,11873,288767,288767,<manual>
0,93,nan,31,3,11873,288767,288767,<manual>
0,93,nan,32,4,34851,464097,464097,<manual>
0,93,nan,33,4,34851,464097,464097,<manual>
0,93,nan,34,4,34851,464097,464097,<manual>
0,93,nan,35,4,34851,464097,464097,<manual>
0,93,nan,36,4,34851,464097,464097,<manual>
0,93,nan,37,4,34851,464097,464097,<manual>
0,93,nan,38,4,34851,464097,464097,<manual>
0,93,nan,39,4,34851,464097,464097,<manual>
0,93,nan,40,5,17147,257069,257069,<manual>
0,93,nan,41,5,17147,257069,257069,<manual>
0,93,nan,42,5,17147,257069,257069,<manual>
0,93,nan,43,5,17147,257069,257069,<manual>
0,93,nan,44,5,17147,257069,257069,<manual>
0,93,nan,45,5,17147,257069,257069,<manual>
0,93,nan,46,5,17147,257069,257069,<manual>
0,93,nan,47,5,17147,257069,257069,<manual>
0,93,nan,48,6,33487,194573,194573,<manual>
0,93,nan,49,6,33487,194573,194573,<manual>
0,93,nan,50,6,33487,194573,194573,<manual>
0,93,nan,51,6,33487,194573,194573,<manual>
0,93,nan,52,6,33487,194573,194573,<manual>
0,93,nan,53,6,33487,194573,194573,<manual>
0,93,nan,54,6,33487,194573,194573,<manual>
0,93,nan,55,6,33487,194573,194573,<manual>
0,93,nan,56,7,17414,254694,254693,<manual>
0,93,nan,57,7,17414,254694,254693,<manual>
0,93,nan,58,7,17414,254694,254693,<manual>
0,93,nan,59,7,17414,254694,254693,<manual>
0,93,nan,60,7,17414,254694,254693,<manual>
0,93,nan,61,7,17414,254694,254693,<manual>
0,93,nan,62,7,17414,254694,254693,<manual>
0,93,nan,63,7,17414,254694,254693,<manual>
1,100,nan,0,0,10021,453768,453768,<manual>
1,100,nan,1,0,10021,453768,453768,<manual>
1,100,nan,2,0,10021,453768,453768,<manual>
1,100,nan,3,0,10021,453768,453768,<manual>
1,100,nan,4,0,10021,453768,453768,<manual>
1,100,nan,5,0,10021,453768,453768,<manual>
1,100,nan,6,0,10021,453768,453768,<manual>
1,100,nan,7,0,10021,453768,453768,<manual>
1,100,nan,8,1,33838,81679,81679,<manual>
1,100,nan,9,1,33838,81679,81679,<manual>
1,100,nan,10,1,33838,81679,81679,<manual>
1,100,nan,11,1,33838,81679,81679,<manual>
1,100,nan,12,1,33838,81679,81679,<manual>
1,100,nan,13,1,33838,81679,81679,<manual>
1,100,nan,14,1,33838,81679,81679,<manual>
1,100,nan,15,1,33838,81679,81679,<manual>
1,100,nan,16,2,9889,193123,193123,<manual>
1,100,nan,17,2,9889,193123,193123,<manual>
1,100,nan,18,2,9889,193123,193123,<manual>
1,100,nan,19,2,9889,193123,193123,<manual>
1,100,nan,20,2,9889,193123,193123,<manual>
1,100,nan,21,2,9889,193123,193123,<manual>
1,100,nan,22,2,9889,193123,193123,<manual>
1,100,nan,23,2,9889,193123,193123,<manual>
1,100,nan,24,3,12262,99337,99335,<manual>
1,100,nan,25,3,12262,99337,99335,<manual>
1,100,nan,26,3,12262,99337,99335,<manual>
1,100,nan,27,3,12262,99337,99335,<manual>
1,100,nan,28,3,12262,99337,99335,<manual>
1,100,nan,29,3,12262,99337,99335,<manual>
1,100,nan,30,3,12262,99337,99335,<manual>
1,100,nan,31,3,12262,99337,99335,<manual>
1,100,nan,32,4,30292,160126,160125,<manual>
1,100,nan,33,4,30292,160126,160125,<manual>
1,100,nan,34,4,30292,160126,160125,<manual>
1,100,nan,35,4,30292,160126,160125,<manual>
1,100,nan,36,4,30292,160126,160125,<manual>
1,100,nan,37,4,30292,160126,160125,<manual>
1,100,nan,38,4,30292,160126,160125,<manual>
1,100,nan,39,4,30292,160126,160125,<manual>
1,100,nan,40,5,30901,333104,333104,<manual>
1,100,nan,41,5,30901,333104,333104,<manual>
1,100,nan,42,5,30901,333104,333104,<manual>
1,100,nan,43,5,30901,333104,333104,<manual>
1,100,nan,44,5,30901,333104,333104,<manual>
1,100,nan,45,5,30901,333104,333104,<manual>
1,100,nan,46,5,30901,333104,333104,<manual>
1,100,nan,47,5,30901,333104,333104,<manual>
1,100,nan,48,6,30703,403558,403558,<manual>
1,100,nan,49,6,30703,403558,403558,<manual>
1,100,nan,50,6,30703,403558,403558,<manual>
1,100,nan,51,6,30703,403558,403558,<manual>
1,100,nan,52,6,30703,403558,403558,<manual>
1,100,nan,53,6,30703,403558,403558,<manual>
1,100,nan,54,6,30703,403558,403558,<manual>
1,100,nan,55,6,30703,403558,403558,<manual>
1,100,nan,56,7,39964,226742,226742,<manual>
1,100,nan,57,7,39964,226742,226742,<manual>
1,100,nan,58,7,39964,226742,226742,<manual>
1,100,nan,59,7,39964,226742,226742,<manual>
1,100,nan,60,7,39964,226742,226742,<manual>
1,100,nan,61,7,39964,226742,226742,<manual>
1,100,nan,62,7,39964,226742,226742,<manual>
1,100,nan,63,7,39964,226742,226742,<manual>
2,101,nan,0,0,33803,417723,417723,<manual>
2,101,nan,1,0,33803,417723,417723,<manual>
2,101,nan,2,0,33803,417723,417723,<manual>
2,101,nan,3,0,33803,417723,417723,<manual>
2,101,nan,4,0,33803,417723,417723,<manual>
2,101,nan,5,0,33803,417723,417723,<manual>
2,101,nan,6,0,33803,417723,417723,<manual>
2,101,nan,7,0,33803,417723,417723,<manual>
2,101,nan,8,1,13033,208301,208301,<manual>
2,101,nan,9,1,13033,208301,208301,<manual>
2,101,nan,10,1,13033,208301,208301,<manual>
2,101,nan,11,1,13033,208301,208301,<manual>
2,101,nan,12,1,13033,208301,208301,<manual>
2,101,nan,13,1,13033,208301,208301,<manual>
2,101,nan,14,1,13033,208301,208301,<manual>
2,101,nan,15,1,13033,208301,208301,<manual>
2,101,nan,16,2,12898,381525,381523,<manual>
2,101,nan,17,2,12898,381525,381523,<manual>
2,101,nan,18,2,12898,381525,381523,<manual>
2,101,nan,19,2,12898,381525,381523,<manual>
2,101,nan,20,2,12898,381525,381523,<manual>
2,101,nan,21,2,12898,381525,381523,<manual>
2,101,nan,22,2,12898,381525,381523,<manual>
2,101,nan,23,2,12898,381525,381523,<manual>
2,101,nan,24,3,6245,249477,249476,<manual>
2,101,nan,25,3,6245,249477,249476,<manual>
2,101,nan,26,3,6245,249477,249476,<manual>
2,101,nan,27,3,6245,249477,249476,<manual>
2,101,nan,28,3,6245,249477,249476,<manual>
2,101,nan,29,3,6245,249477,249476,<manual>
2,101,nan,30,3,6245,249477,249476,<manual>
2,101,nan,31,3,6245,249477,249476,<manual>
2,101,nan,32,4,29368,84051,84051,<manual>
2,101,nan,33,4,29368,84051,84051,<manual>
2,101,nan,34,4,29368,84051,84051,<manual>
2,101,nan,35,4,29368,84051,84051,<manual>
2,101,nan,36,4,29368,84051,84051,<manual>
2,101,nan,37,4,29368,84051,84051,<manual>
2,101,nan,38,4,29368,84051,84051,<manual>
2,101,nan,39,4,29368,84051,84051,<manual>
2,101,nan,40,5,39086,8039,8039,<manual>
2,101,nan,41,5,39086,8039,8039,<manual>
2,101,nan,42,5,39086,8039,8039,<manual>
2,101,nan,43,5,39086,8039,8039,<manual>
2,101,nan,44,5,39086,8039,8039,<manual>
2,101,nan,45,5,39086,8039,8039,<manual>
2,101,nan,46,5,39086,8039,8039,<manual>
2,101,nan,47,5,39086,8039,8039,<manual>
2,101,nan,48,6,35981,16667,16666,<manual>
2,101,nan,49,6,35981,16667,16666,<manual>
2,101,nan,50,6,35981,16667,16666,<manual>
2,101,nan,51,6,35981,16667,16666,<manual>
2,101,nan,52,6,35981,16667,16666,<manual>
2,101,nan,53,6,35981,16667,16666,<manual>
2,101,nan,54,6,35981,16667,16666,<manual>
2,101,nan,55,6,35981,16667,16666,<manual>
2,101,nan,56,7,17247,19398,19397,<manual>
2,101,nan,57,7,17247,19398,19397,<manual>
2,101,nan,58,7,17247,19398,19397,<manual>
2,101,nan,59,7,17247,19398,19397,<manual>
2,101,nan,60,7,17247,19398,19397,<manual>
2,101,nan,61,7,17247,19398,19397,<manual>
2,101,nan,62,7,17247,19398,19397,<manual>
2,101,nan,63,7,17247,19398,19397,<manual>
